"","Site","State","SeasonYear","TOTAL","CALIDRIS","DOWITCHER","PHALAROPE","YELLOWLEGS","PLOVER","UNKLARGE","UNKMEDSMALL","AMAV","AMGP","BASA","BBPL","BBSA","BNST","DUNL","GRYE","HUGO","KILL","LBCU","LESA","LEYE","MAGO","PAGP","PESA","PIPL","REKN","REPH","RNPH","RUFF","RUTU","SAND","SEPL","SESA","SOSA","SPSA","STSA","UPSA","WATA","WESA","WHIM","WILL","WIPH","WISN","CUSA"
"1063","Harrison/Willow Creek Reservoir","Montana","Spring 2024",12,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1064","Lee Metcalf NWR","Montana","Spring 2024",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1065","Medicine Lake NWR Complex","Montana","Spring 2024",73,0,2,0,1,0,0,0,7,0,0,0,0,0,0,0,0,20,0,0,0,31,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
"1066","Nelson Reservoir","Montana","Spring 2024",93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,4,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"1067","Spidel WPA","Montana","Spring 2024",5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1068","Syme Slough","Montana","Spring 2024",16,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
"1069","Warm Springs Reservoir (MT)","Montana","Spring 2024",36,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"1070","Flathead Lake","Montana & Confederated Salish and Kootenai Tribes","Spring 2024",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0
"1071","Ganado Lake","Navajo Nation","Spring 2024",11,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1072","Morgan Lake","Navajo Nation","Spring 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1073","Red Lake","Navajo Nation","Spring 2024",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1074","Artesia Lake","Nevada","Spring 2024",216,52,80,0,0,0,0,0,18,0,0,0,0,57,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"1075","Ash Meadows NWR","Nevada","Spring 2024",8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0
"1076","Bassett Lake and Slough","Nevada","Spring 2024",20,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1077","Bowman Reservoir (Logendale)","Nevada","Spring 2024",14,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"1078","Bull Run Reservoir","Nevada","Spring 2024",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1079","Comins Lake area","Nevada","Spring 2024",18,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1080","Continental Lake","Nevada","Spring 2024",37,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"1081","Crintendon Reservoir","Nevada","Spring 2024",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0
"1082","Deer Creek Reservoir","Nevada","Spring 2024",12,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1083","Diamond Valley (Playa Wells)","Nevada","Spring 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1084","Duck Flat","Nevada","Spring 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1085","Gridley Lake","Nevada","Spring 2024",56,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"1086","Henderson Sewage Ponds","Nevada","Spring 2024",55,0,21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,14,0,0
"1087","Humboldt WMA","Nevada","Spring 2024",11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1088","Illipah Reservoir","Nevada","Spring 2024",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1089","J.D. Ranch pond","Nevada","Spring 2024",28,0,13,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1090","Jakes Creek Reservoir","Nevada","Spring 2024",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1091","Key Pittman WMA","Nevada","Spring 2024",49,4,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,7,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,0,0,0,2,0,0,3,1,0
"1092","Lahontan Valley","Nevada","Spring 2024",3359,200,1705,5,0,0,0,0,536,0,0,0,0,430,15,21,0,35,10,326,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1,2,0,0
"1093","Lake Mead NRA","Nevada","Spring 2024",65,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,8,0,8,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,22,12,0,0
"1094","Mason Valley WMA","Nevada","Spring 2024",183,0,104,0,0,0,0,0,12,0,0,0,0,9,10,4,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,18,0,0
"1095","Massacre Lake","Nevada","Spring 2024",25,0,0,0,0,0,0,0,20,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1096","Mud Meadow Reservoir","Nevada","Spring 2024",15,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1097","New Years Lake","Nevada","Spring 2024",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"1098","Newark Valley","Nevada","Spring 2024",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,4,0,0,0
"1099","Overton WMA","Nevada","Spring 2024",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"1100","Pahranagat NWR","Nevada","Spring 2024",222,0,34,0,0,0,0,0,0,0,0,0,0,10,0,0,0,13,1,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,5,0,0,54,2,0
"1101","Parker Reservoir","Nevada","Spring 2024",39,0,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0
"1102","Ruby Valley","Nevada","Spring 2024",6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1103","Settelmeyer Ranches","Nevada","Spring 2024",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1104","Sheldon NWR","Nevada","Spring 2024",7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1105","Smoke Creek Desert","Nevada","Spring 2024",133,60,0,0,0,0,0,0,44,0,0,0,0,20,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1106","Snow Water Lake","Nevada","Spring 2024",57,0,13,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"1107","South Fork Reservoir","Nevada","Spring 2024",13,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"1108","Swan Lake NSA","Nevada","Spring 2024",190,0,0,0,0,0,0,0,7,0,0,0,0,4,2,0,0,15,0,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,100,0,0,1,0,0
"1109","Upper Las Vegas Wash","Nevada","Spring 2024",30,0,0,0,0,0,0,0,6,0,0,0,0,3,0,1,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0
"1110","Wabuska Marshes","Nevada","Spring 2024",58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0
"1111","Walker Lake","Nevada","Spring 2024",285,135,63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,31,0,5,0,0,0,0,0,0,0,0,0,20,0,0,24,0,0,0,0,0,0,0,0,0
"1112","Washoe Lake wetlands","Nevada","Spring 2024",149,0,0,0,1,0,0,80,6,0,0,0,0,6,0,2,0,4,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"1113","Weber Reservoir","Nevada","Spring 2024",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"1114","Wells WTP","Nevada","Spring 2024",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
"1115","West Wendover WTP","Nevada","Spring 2024",27,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
"1116","White Lake","Nevada","Spring 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1117","Wildhorse Reservoir SRA","Nevada","Spring 2024",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
"1118","Willow Creek Reservoir","Nevada","Spring 2024",23,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"1119","Wilson Reservoir SRA","Nevada","Spring 2024",14,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"1120","Winnemucca Lake","Nevada","Spring 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1121","Zaga Ranch Pond","Nevada","Spring 2024",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1122","Zunino Reservoir (Jiggs)","Nevada","Spring 2024",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0
"1123","Bernardo WMA","New Mexico","Spring 2024",33,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
"1124","Big Salt Lake area","New Mexico","Spring 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1125","Bitter Lake NWR","New Mexico","Spring 2024",2717,670,355,0,8,0,0,0,349,14,0,0,0,226,0,37,0,18,0,54,2,0,0,0,0,0,0,0,0,0,0,8,42,0,0,41,0,0,71,0,0,774,0,0
"1126","Bosque del Apache NWR","New Mexico","Spring 2024",590,0,279,0,0,0,0,0,15,0,0,0,0,17,0,6,0,42,0,20,22,0,0,0,0,0,0,0,0,0,0,3,0,13,2,0,0,0,50,0,9,111,1,0
"1127","Caballo Lake","New Mexico","Spring 2024",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1128","Cochiti Lake","New Mexico","Spring 2024",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"1129","Holloman Lake","New Mexico","Spring 2024",661,62,28,0,0,0,0,0,55,0,0,0,0,73,0,0,0,20,1,0,2,1,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,4,0,8,380,0,0
"1130","La Joya WMA","New Mexico","Spring 2024",41,0,21,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,0,0
"1131","Lake Estancia","New Mexico","Spring 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1132","Las Vegas NWR","New Mexico","Spring 2024",214,0,40,0,0,0,0,0,43,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,114,0,0
"1133","Maxwell NWR","New Mexico","Spring 2024",560,2,75,0,1,0,0,0,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,3,458,0,0
"1134","W.S. Huey WMA","New Mexico","Spring 2024",37,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0
"1135","Alkali Lakes","Oregon","Spring 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1136","Antelope Reservoir","Oregon","Spring 2024",65,1,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
"1137","Bully Creek Reservoir","Oregon","Spring 2024",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1138","Burns Sewage Ponds","Oregon","Spring 2024",35,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0
"1139","Chewaucan Marsh","Oregon","Spring 2024",216,0,71,0,1,0,0,0,26,0,0,0,0,48,0,0,0,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,12,0
"1140","Cold Springs NWR","Oregon","Spring 2024",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1141","Cow Lakes","Oregon","Spring 2024",13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"1142","Drews Reservoir","Oregon","Spring 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1143","Harney Basin","Oregon","Spring 2024",1860,0,0,0,0,0,0,0,316,0,2,14,0,10,951,7,0,7,15,325,2,0,0,0,0,0,0,0,0,1,2,8,0,0,0,0,0,0,112,0,33,5,0,0
"1144","Klamath Basin","Oregon","Spring 2024",911,4,356,0,0,0,0,0,6,0,0,0,0,152,27,1,0,18,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,39,0,0,0,1,0
"1145","Lake Abert","Oregon","Spring 2024",2833,315,0,0,0,0,0,0,329,0,0,0,0,1,2105,0,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1,0,0
"1146","Lakeview WTP","Oregon","Spring 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1147","Malheur Lake and NWR","Oregon","Spring 2024",2758,97,830,8,0,0,0,0,568,1,0,192,0,656,102,3,0,10,40,98,2,9,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,1,0,115,17,0,0
"1148","Malheur Reservoir","Oregon","Spring 2024",9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1149","Summer Lake","Oregon","Spring 2024",4144,1284,1403,0,22,0,0,0,349,0,0,8,0,137,27,0,0,25,12,752,3,1,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,91,11,4,0
"1150","Umatilla NWR","Oregon","Spring 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1151","Warm Springs Reservoir (OR)","Oregon","Spring 2024",38,0,2,0,0,0,0,0,6,0,0,0,0,0,7,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0
"1152","Warner Valley","Oregon","Spring 2024",15,2,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"1153","Willow Valley Reservoir","Oregon","Spring 2024",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"1154","Yonna Valley","Oregon","Spring 2024",50,10,30,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1155","Pyramid Lake","Pyramid Lake Paiute Tribe","Spring 2024",205,8,8,0,0,0,0,0,68,0,0,5,0,0,11,1,0,32,11,51,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,5,0,0,0,0,0
"1156","Summit Lake","Summit Lake Paiute Tribe","Spring 2024",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1157","Amalga Barrens Sanctuary","Utah","Spring 2024",158,2,1,0,11,0,0,0,78,0,0,0,0,22,0,1,0,11,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0
"1158","Blue Lake","Utah","Spring 2024",30,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1159","Fish Springs NWR","Utah","Spring 2024",44,0,13,0,0,0,0,0,12,0,0,0,0,0,0,5,0,1,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0
"1160","Great Salt Lake","Utah","Spring 2024",29442,592,4683,17,105,0,0,1,13021,0,10,442,0,5023,6,29,0,462,253,207,229,1800,0,0,0,0,0,185,0,0,817,19,1,2,8,0,0,0,49,16,427,134,6,0
"1161","Olsen Reservoir","Utah","Spring 2024",5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1162","Utah Lake","Utah","Spring 2024",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0
"1163","Anatone Ponds","Washington","Spring 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1164","Byron Ponds complex","Washington","Spring 2024",14,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1165","Columbia NWR","Washington","Spring 2024",45,0,0,0,1,0,0,0,0,0,0,0,0,12,0,2,0,15,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"1166","Connell STP","Washington","Spring 2024",61,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"1167","Cow Lake","Washington","Spring 2024",6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1168","Crab Creek Hwy 26 ponds","Washington","Spring 2024",34,0,0,0,0,0,0,0,6,0,0,0,0,15,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1169","Dodson Road Wasteways","Washington","Spring 2024",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1170","McCain Ponds","Washington","Spring 2024",31,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1171","Othello Sewage Ponds","Washington","Spring 2024",113,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"1172","Potholes Reservoir","Washington","Spring 2024",50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"1173","Reardon Ponds","Washington","Spring 2024",19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1174","Richland Asphalt Ponds","Washington","Spring 2024",35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"1175","Rock Creek at Hwy 23","Washington","Spring 2024",15,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
"1176","Saltese Flats","Washington","Spring 2024",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0
"1177","Savage Rd pond","Washington","Spring 2024",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1178","Sheep Lake","Washington","Spring 2024",24,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0
"1179","Snake River","Washington","Spring 2024",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1180","Soap Lake","Washington","Spring 2024",89,0,0,0,0,0,0,0,10,0,0,0,0,34,5,0,0,11,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1181","Swanson Lakes Wildlife Area","Washington","Spring 2024",32,0,0,0,0,0,0,0,0,0,0,0,0,3,13,1,0,5,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1182","Walla Walla River Delta","Washington","Spring 2024",9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
